X,Y,Z,DISP,FEED MM/MIN,DUR TIME,TME
-24.359,30.683,-1.5,0.036235342,,0.036135547,140.0695205
-24.387,30.66,-1.5,1.153267098,,0.024156895,140.0936774
-25.279,29.929,-1.5,0.048270074,,0.768844732,140.8625222
-25.316,29.898,-1.5,1.19490418,,0.032180049,140.8947022
-26.216,29.112,-1.5,0.040360872,,0.796602787,141.691305
-26.246,29.085,-1.5,0.035383612,,0.026907248,141.7182122
-26.272,29.061,-1.5,1.153313487,,0.023589075,141.7418013
-27.116,28.275,-1.5,0.049517674,,0.768875658,142.510677
-27.152,28.241,-1.5,1.216940837,,0.033011782,142.5436888
-28.016,27.384,-1.5,0.060108236,,0.811293891,143.3549827
-28.058,27.341,-1.5,1.167179506,,0.040072157,143.3950548
-28.86,26.493,-1.5,0.070092796,,0.778119671,144.1731745
-28.907,26.441,-1.5,1.129086356,,0.04672853,144.219903
-29.657,25.597,-1.5,0.070837843,,0.752724238,144.9726272
-29.704,25.544,-1.5,1.175891151,,0.047225229,145.0198525
-30.456,24.64,-1.5,0.054671748,,0.783927434,145.8037799
-30.491,24.598,-1.5,1.187626625,,0.036447832,145.8402277
-31.222,23.662,-1.5,0.043416587,,0.791751083,146.6319788
-31.249,23.628,-1.5,0.05,,0.028944391,146.6609232
-31.279,23.588,-1.5,1.143483275,,0.033333333,146.6942566
-31.954,22.665,-1.5,0.061032778,,0.762322183,147.4565787
-31.989,22.615,-1.5,1.158861942,,0.040688519,147.4972673
-32.644,21.659,-1.5,0.067675697,,0.772574628,148.2698419
-32.682,21.603,-1.5,0.005830952,,0.045117132,148.314959
-32.685,21.598,-1.5,1.196160524,,0.003887301,148.3188463
-33.329,20.59,-1.5,0.059682493,,0.79744035,149.1162867
-33.36,20.539,-1.5,1.184719376,,0.039788329,149.156075
-33.966,19.521,-1.5,0.025553865,,0.789812917,149.9458879
-33.979,19.499,-1.5,0.038948684,,0.01703591,149.9629238
-33.998,19.465,-1.5,1.157483909,,0.025965789,149.9888896
-34.558,18.452,-1.5,0.063529521,,0.771655939,150.7605455
-34.588,18.396,-1.5,1.201276404,,0.042353014,150.8028986
-35.136,17.327,-1.5,0.055461698,,0.800850936,151.6037495
-35.16,17.277,-1.5,1.189414141,,0.036974466,151.640724
-35.669,16.202,-1.5,0.061326992,,0.792942761,152.4336667
-35.694,16.146,-1.5,1.165755549,,0.040884662,152.4745514
-36.159,15.077,-1.5,0.036769553,,0.777170366,153.2517218
-36.173,15.043,-1.5,1.174153738,,0.024513035,153.2762348
-36.607,13.952,-1.5,0.043081318,,0.782769159,154.0590039
-36.623,13.912,-1.5,1.214385853,,0.028720879,154.0877248
-37.036,12.77,-1.5,0.059135438,,0.809590569,154.8973154
-37.055,12.714,-1.5,1.183659157,,0.039423625,154.936739
-37.423,11.589,-1.5,0.0585235,,0.789106105,155.7258451
-37.44,11.533,-1.5,1.172800068,,0.039015666,155.7648608
-37.768,10.407,-1.5,0.058240879,,0.781866712,156.5467275
-37.784,10.351,-1.5,1.161776657,,0.038827253,156.5855548
-38.074,9.226,-1.5,0.048507731,,0.774517771,157.3600725
-38.086,9.179,-1.5,1.220561346,,0.032338488,157.392411
-38.353,7.988,-1.5,0.057070132,,0.813707564,158.2061186
-38.364,7.932,-1.5,1.14554834,,0.038046755,158.2441653
-38.58,6.807,-1.5,0.056885851,,0.763698894,159.0078642
-38.59,6.751,-1.5,1.196857552,,0.0379239,159.0457881
-38.778,5.569,-1.5,0.056568542,,0.797905035,159.8436932
-38.786,5.513,-1.5,1.190487715,,0.037712362,159.8814055
-38.936,4.332,-1.5,0.056320511,,0.793658477,160.675064
-38.942,4.276,-1.5,1.187294403,,0.037547008,160.712611
-39.054,3.094,-1.5,0.056142675,,0.791529602,161.5041406
-39.058,3.038,-1.5,1.127238218,,0.03742845,161.5415691
-39.129,1.913,-1.5,0.057078893,,0.751492145,162.2930612
-39.132,1.856,-1.5,1.237614641,,0.038052595,162.3311138
-39.171,0.619,-1.5,0.056008928,,0.825076427,163.1561902
-39.172,0.563,-1.5,1.126,,0.037339285,163.1935295
-39.172,-0.563,-1.5,0.056008928,,0.750666667,163.9441962
